symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,16,18.75,0.343,-21.7478,-23.3478,28.5679,4.068,-2.7348,10.4013,-5.8616,-1.4592,8,8,2,10
ETHUSD,19,15.79,0.196,-49.1477,-51.0477,54.8058,4.152,-3.969,7.292,-10.6396,-2.6867,9,10,1,9
