mode,label,symbol,trend_tf,trigger_tf,exit_mode,total_trades,win_rate_pct,profit_factor,total_pnl_pct,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max,grade,total_pnl_pct_net
swing,swing_4h_1h,BTCUSD,4h,1h,opposite_signal,5,20.0,0.364,-20.3006,26.9808,11.9163,-8.1792,11.9163,-9.6787,-4.1601,3,2,1,4,F,-20.8006
swing,swing_4h_1h,ETHUSD,4h,1h,opposite_signal,8,12.5,0.17,-32.8981,38.5797,6.9032,-5.8002,6.9032,-8.1962,-4.2123,4,4,1,7,F,-33.6981
