mode,label,symbol,trend_tf,trigger_tf,exit_mode,total_trades,win_rate_pct,profit_factor,total_pnl_pct,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max,grade,total_pnl_pct_net
swing,swing_4h_1h,BTCUSD,4h,1h,trailing_stop,99,26.26,0.342,-30.5604,39.8199,0.8095,-0.8426,2.7298,-1.7708,-0.4087,63,36,3,11,F,-40.4604
swing,swing_4h_1h,ETHUSD,4h,1h,trailing_stop,90,30.0,0.393,-31.6806,38.9191,0.9744,-1.0633,2.5117,-2.2105,-0.452,48,42,2,7,F,-40.6806
