mode,label,symbol,trend_tf,trigger_tf,exit_mode,total_trades,win_rate_pct,profit_factor,total_pnl_pct,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max,grade,total_pnl_pct_net
swing,swing_4h_1h,BTCUSD,4h,1h,opposite_signal,5,20.0,0.36,-20.4323,26.9808,11.7846,-8.1792,11.7846,-9.6787,-4.1865,3,2,1,4,F,-20.9323
swing,swing_4h_1h,ETHUSD,4h,1h,opposite_signal,8,12.5,0.167,-33.0196,38.5797,6.7816,-5.8002,6.7816,-8.1962,-4.2275,4,4,1,7,F,-33.8196
