symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,5,20.0,0.373,-20.0195,-20.5195,26.9808,12.1974,-8.1792,12.1974,-9.6787,-4.1039,3,2,1,4
ETHUSD,8,12.5,0.173,-32.7696,-33.5696,38.5797,7.0317,-5.8002,7.0317,-8.1962,-4.1962,4,4,1,7
