symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-16 21:00:00+00:00,65476.5,2024-05-16 22:00:00+00:00,65419.0,supertrend_flip,-57.5,-0.0878,-0.0888,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-17 00:00:00+00:00,65510.5,2024-05-17 01:00:00+00:00,65368.5,supertrend_flip,-142.0,-0.2168,-0.2178,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-17 02:00:00+00:00,65399.5,2024-05-17 03:00:00+00:00,65608.0,supertrend_flip,208.5,0.3188,0.3178,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-19 13:00:00+00:00,67059.0,2024-05-19 18:00:00+00:00,66613.5,supertrend_flip,-445.5,-0.6643,-0.6653,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 04:00:00+00:00,67165.0,2024-05-20 05:00:00+00:00,67151.5,supertrend_flip,-13.5,-0.0201,-0.0211,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 07:00:00+00:00,66831.0,2024-05-20 08:00:00+00:00,66772.0,supertrend_flip,-59.0,-0.0883,-0.0893,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-21 22:00:00+00:00,70225.5,2024-05-21 23:00:00+00:00,70147.0,supertrend_flip,-78.5,-0.1118,-0.1128,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 08:00:00+00:00,70040.5,2024-05-22 09:00:00+00:00,70020.0,supertrend_flip,-20.5,-0.0293,-0.0303,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 14:00:00+00:00,70135.5,2024-05-22 15:00:00+00:00,70481.0,supertrend_flip,345.5,0.4926,0.4916,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 07:00:00+00:00,69747.5,2024-05-23 08:00:00+00:00,69711.0,supertrend_flip,-36.5,-0.0523,-0.0533,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 11:00:00+00:00,70002.0,2024-05-23 12:00:00+00:00,69453.5,supertrend_flip,-548.5,-0.7835,-0.7845,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-06-06 07:00:00+00:00,71048.5,2024-06-07 17:00:00+00:00,69806.5,supertrend_flip,-1242.0,-1.7481,-1.7491,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-22 08:00:00+00:00,64306.0,2024-06-25 04:00:00+00:00,61387.0,supertrend_flip,2919.0,4.5392,4.5382,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-25 05:00:00+00:00,61050.0,2024-06-25 06:00:00+00:00,61154.0,supertrend_flip,-104.0,-0.1704,-0.1714,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-25 11:00:00+00:00,61182.5,2024-06-25 12:00:00+00:00,61047.0,supertrend_flip,135.5,0.2215,0.2205,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-26 05:00:00+00:00,61549.5,2024-06-26 06:00:00+00:00,61571.0,supertrend_flip,-21.5,-0.0349,-0.0359,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-26 08:00:00+00:00,61465.0,2024-06-26 09:00:00+00:00,61379.0,supertrend_flip,86.0,0.1399,0.1389,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-26 15:00:00+00:00,61464.5,2024-06-26 16:00:00+00:00,61262.0,supertrend_flip,202.5,0.3295,0.3285,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-06-27 10:00:00+00:00,61118.0,2024-06-27 13:00:00+00:00,61993.0,supertrend_flip,-875.0,-1.4317,-1.4327,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-07-05 20:00:00+00:00,56351.5,2024-07-06 09:00:00+00:00,56757.5,supertrend_flip,-406.0,-0.7205,-0.7215,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-07-07 07:00:00+00:00,57365.0,2024-07-07 08:00:00+00:00,57642.5,supertrend_flip,-277.5,-0.4837,-0.4847,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-07-07 11:00:00+00:00,57456.5,2024-07-07 12:00:00+00:00,57333.0,supertrend_flip,123.5,0.2149,0.2139,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-07-08 14:00:00+00:00,56189.0,2024-07-08 15:00:00+00:00,55765.5,supertrend_flip,423.5,0.7537,0.7527,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-18 05:00:00+00:00,64744.5,2024-07-18 06:00:00+00:00,64990.0,supertrend_flip,245.5,0.3792,0.3782,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-18 11:00:00+00:00,64754.0,2024-07-18 12:00:00+00:00,64836.5,supertrend_flip,82.5,0.1274,0.1264,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-19 03:00:00+00:00,64323.0,2024-07-19 04:00:00+00:00,64136.5,supertrend_flip,-186.5,-0.2899,-0.2909,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-19 05:00:00+00:00,64168.0,2024-07-19 06:00:00+00:00,64215.0,supertrend_flip,47.0,0.0732,0.0722,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-21 09:00:00+00:00,66970.5,2024-07-23 05:00:00+00:00,66426.5,supertrend_flip,-544.0,-0.8123,-0.8133,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-27 21:00:00+00:00,68855.5,2024-07-27 22:00:00+00:00,68626.5,supertrend_flip,-229.0,-0.3326,-0.3336,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-07-28 02:00:00+00:00,68144.0,2024-07-28 03:00:00+00:00,67938.5,supertrend_flip,-205.5,-0.3016,-0.3026,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-08-04 13:00:00+00:00,60822.0,2024-08-06 00:00:00+00:00,56034.5,supertrend_flip,4787.5,7.8713,7.8703,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-08-06 08:00:00+00:00,54990.5,2024-08-06 09:00:00+00:00,55209.5,supertrend_flip,-219.0,-0.3983,-0.3993,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-08-06 10:00:00+00:00,55060.5,2024-08-06 11:00:00+00:00,55212.0,supertrend_flip,-151.5,-0.2752,-0.2762,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-08-06 12:00:00+00:00,54785.0,2024-08-06 13:00:00+00:00,55201.0,supertrend_flip,-416.0,-0.7593,-0.7603,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-08-07 14:00:00+00:00,56085.0,2024-08-07 15:00:00+00:00,56091.5,supertrend_flip,-6.5,-0.0116,-0.0126,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-08-25 08:00:00+00:00,63936.0,2024-08-26 06:00:00+00:00,63729.0,supertrend_flip,-207.0,-0.3238,-0.3248,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-08-29 18:00:00+00:00,59154.0,2024-09-02 20:00:00+00:00,58981.0,supertrend_flip,173.0,0.2925,0.2915,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-09-03 13:00:00+00:00,58395.0,2024-09-04 15:00:00+00:00,58123.5,supertrend_flip,271.5,0.4649,0.4639,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-09-05 03:00:00+00:00,57120.0,2024-09-05 04:00:00+00:00,57201.5,supertrend_flip,-81.5,-0.1427,-0.1437,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-09-06 03:00:00+00:00,56577.0,2024-09-08 23:00:00+00:00,54861.0,supertrend_flip,1716.0,3.033,3.032,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2024-09-09 14:00:00+00:00,54828.0,2024-09-09 15:00:00+00:00,55383.0,supertrend_flip,-555.0,-1.0123,-1.0133,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-09-20 15:00:00+00:00,63138.5,2024-09-22 09:00:00+00:00,62696.0,supertrend_flip,-442.5,-0.7008,-0.7018,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-09-22 17:00:00+00:00,63060.0,2024-09-22 18:00:00+00:00,62956.5,supertrend_flip,-103.5,-0.1641,-0.1651,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-09-22 22:00:00+00:00,63888.0,2024-09-26 00:00:00+00:00,62942.0,supertrend_flip,-946.0,-1.4807,-1.4817,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-09-28 10:00:00+00:00,65756.5,2024-09-30 01:00:00+00:00,64766.5,supertrend_flip,-990.0,-1.5056,-1.5066,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-10-07 11:00:00+00:00,63138.5,2024-10-07 22:00:00+00:00,62455.5,supertrend_flip,-683.0,-1.0817,-1.0827,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-10-15 15:00:00+00:00,66018.0,2024-10-21 08:00:00+00:00,68332.0,supertrend_flip,2314.0,3.5051,3.5041,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-10-30 13:00:00+00:00,71999.5,2024-10-31 13:00:00+00:00,71351.5,supertrend_flip,-648.0,-0.9,-0.901,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-08 15:00:00+00:00,76430.5,2024-11-13 21:00:00+00:00,88572.0,supertrend_flip,12141.5,15.8857,15.8847,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-13 22:00:00+00:00,89761.0,2024-11-13 23:00:00+00:00,90398.0,supertrend_flip,637.0,0.7097,0.7087,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-14 07:00:00+00:00,90818.5,2024-11-14 08:00:00+00:00,90595.5,supertrend_flip,-223.0,-0.2455,-0.2465,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-15 09:00:00+00:00,89239.0,2024-11-15 10:00:00+00:00,89405.5,supertrend_flip,166.5,0.1866,0.1856,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-15 16:00:00+00:00,89399.5,2024-11-15 17:00:00+00:00,89520.5,supertrend_flip,121.0,0.1353,0.1343,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-16 17:00:00+00:00,90967.0,2024-11-17 20:00:00+00:00,89703.5,supertrend_flip,-1263.5,-1.389,-1.39,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-22 15:00:00+00:00,98706.5,2024-11-23 19:00:00+00:00,97562.5,supertrend_flip,-1144.0,-1.159,-1.16,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-11-24 01:00:00+00:00,98252.5,2024-11-24 02:00:00+00:00,98457.5,supertrend_flip,205.0,0.2086,0.2076,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-12-16 13:00:00+00:00,103861.5,2024-12-18 01:00:00+00:00,105310.0,supertrend_flip,1448.5,1.3946,1.3936,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2025-01-04 10:00:00+00:00,97739.5,2025-01-07 14:00:00+00:00,99943.5,supertrend_flip,2204.0,2.255,2.254,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2025-01-10 13:00:00+00:00,93522.0,2025-01-10 14:00:00+00:00,94076.5,supertrend_flip,-554.5,-0.5929,-0.5939,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2025-01-10 15:00:00+00:00,93704.5,2025-01-10 16:00:00+00:00,93614.5,supertrend_flip,90.0,0.096,0.095,100,0.001
BTCUSD,SELL,swing_4h_1h,4h,1h,2025-01-11 03:00:00+00:00,94168.5,2025-01-11 04:00:00+00:00,94022.0,supertrend_flip,146.5,0.1556,0.1546,100,0.001
