symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-19 07:00:00+00:00,3116.15,2024-05-19 12:00:00+00:00,3078.05,supertrend_flip,-38.1,-1.2227,-1.2237,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 02:00:00+00:00,3092.8,2024-05-20 03:00:00+00:00,3087.5,supertrend_flip,-5.3,-0.1714,-0.1724,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 04:00:00+00:00,3123.9,2024-05-22 12:00:00+00:00,3668.45,supertrend_flip,544.55,17.4317,17.4307,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 14:00:00+00:00,3746.45,2024-05-22 15:00:00+00:00,3761.4,supertrend_flip,14.95,0.399,0.398,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 15:00:00+00:00,3816.35,2024-05-24 05:00:00+00:00,3730.55,supertrend_flip,-85.8,-2.2482,-2.2492,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-24 18:00:00+00:00,3734.05,2024-05-24 19:00:00+00:00,3745.95,supertrend_flip,11.9,0.3187,0.3177,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-24 21:00:00+00:00,3735.0,2024-05-24 22:00:00+00:00,3737.05,supertrend_flip,2.05,0.0549,0.0539,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-25 02:00:00+00:00,3732.7,2024-05-25 03:00:00+00:00,3745.35,supertrend_flip,12.65,0.3389,0.3379,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-25 14:00:00+00:00,3748.3,2024-05-25 15:00:00+00:00,3743.8,supertrend_flip,-4.5,-0.1201,-0.1211,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-06-25 07:00:00+00:00,3359.0,2024-06-25 08:00:00+00:00,3355.0,supertrend_flip,4.0,0.1191,0.1181,100,0.001
