symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,242,43.39,1.234,23.0534,22.8114,18.3611,1.1449,-0.711,15.8847,-6.3382,0.0943,129,113,5,7
ETHUSD,282,41.49,0.94,-9.6239,-9.9059,49.3994,1.3226,-0.9979,21.8531,-11.0709,-0.0351,113,169,4,6
