symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-16 21:00:00+00:00,65476.5,2024-05-17 18:00:00+00:00,66465.4543,trailing_sl_hit,988.9543,1.5104,1.5094,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-19 13:00:00+00:00,67059.0,2024-05-19 16:00:00+00:00,66589.4252,trailing_sl_hit,-469.5748,-0.7002,-0.7012,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 04:00:00+00:00,67165.0,2024-05-20 06:00:00+00:00,66654.0851,trailing_sl_hit,-510.9149,-0.7607,-0.7617,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 07:00:00+00:00,66831.0,2024-05-20 16:00:00+00:00,67415.9863,trailing_sl_hit,584.9863,0.8753,0.8743,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-21 22:00:00+00:00,70225.5,2024-05-22 04:00:00+00:00,69445.8862,trailing_sl_hit,-779.6138,-1.1102,-1.1112,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 08:00:00+00:00,70040.5,2024-05-22 17:00:00+00:00,69718.695,trailing_sl_hit,-321.805,-0.4595,-0.4605,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 07:00:00+00:00,69747.5,2024-05-23 12:00:00+00:00,69301.7462,trailing_sl_hit,-445.7538,-0.6391,-0.6401,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-06-04 00:00:00+00:00,69025.0,2024-06-04 13:00:00+00:00,69090.7732,trailing_sl_hit,65.7732,0.0953,0.0943,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-06-06 07:00:00+00:00,71048.5,2024-06-06 16:00:00+00:00,70975.179,trailing_sl_hit,-73.321,-0.1032,-0.1042,100,0.001
BTCUSD,BUY,swing_4h_1h,4h,1h,2024-06-06 17:00:00+00:00,71131.5,2024-06-06 19:00:00+00:00,70574.7656,trailing_sl_hit,-556.7344,-0.7827,-0.7837,100,0.001
