symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,95,44.21,1.684,32.0849,31.9899,6.3382,1.876,-0.8831,15.8847,-6.3382,0.3367,59,36,4,6
ETHUSD,110,48.18,1.424,34.8088,34.6988,25.2518,2.1975,-1.4345,21.8531,-6.3551,0.3154,60,50,4,7
