symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,272,33.09,0.521,-63.9534,-64.2254,67.0761,0.7764,-0.7368,3.626,-3.8167,-0.2361,158,114,4,12
ETHUSD,275,31.27,0.601,-88.2402,-88.5152,96.6969,1.548,-1.1727,8.9502,-4.4547,-0.3219,117,158,3,15
