symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
ETHUSD,SELL,backtest_mtf,4h,1h,2026-02-08 04:00:00+00:00,2086.85,2026-03-05 12:00:00+00:00,2137.4,opposite_signal,-50.55,-2.4223,-2.5223,1,0.1
ETHUSD,BUY,backtest_mtf,4h,1h,2026-03-05 12:00:00+00:00,2137.4,2026-03-08 12:00:00+00:00,1945.65,opposite_signal,-191.75,-8.9712,-9.0712,1,0.1
ETHUSD,SELL,backtest_mtf,4h,1h,2026-03-08 12:00:00+00:00,1945.65,2026-03-13 08:00:00+00:00,2099.45,opposite_signal,-153.8,-7.9048,-8.0048,1,0.1
ETHUSD,BUY,backtest_mtf,4h,1h,2026-03-13 08:00:00+00:00,2099.45,2026-03-29 04:00:00+00:00,2005.35,opposite_signal,-94.1,-4.4821,-4.5821,1,0.1
ETHUSD,SELL,backtest_mtf,4h,1h,2026-03-29 04:00:00+00:00,2005.35,2026-04-06 16:00:00+00:00,2139.75,opposite_signal,-134.4,-6.7021,-6.8021,1,0.1
ETHUSD,BUY,backtest_mtf,4h,1h,2026-04-06 16:00:00+00:00,2139.75,2026-05-08 14:00:00+00:00,2276.75,end_of_data,137.0,6.4026,6.3026,1,0.1
