symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-19 07:00:00+00:00,3116.15,2024-05-19 12:00:00+00:00,3078.05,supertrend_flip,-38.1,-1.2227,-1.2237,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-20 13:00:00+00:00,3095.15,2024-05-22 12:00:00+00:00,3668.45,supertrend_flip,573.3,18.5225,18.5215,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-22 14:00:00+00:00,3746.45,2024-05-22 15:00:00+00:00,3761.4,supertrend_flip,14.95,0.399,0.398,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-05-23 15:00:00+00:00,3816.35,2024-05-24 05:00:00+00:00,3730.55,supertrend_flip,-85.8,-2.2482,-2.2492,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-06-25 07:00:00+00:00,3359.0,2024-06-25 08:00:00+00:00,3355.0,supertrend_flip,4.0,0.1191,0.1181,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-07-07 04:00:00+00:00,3029.1,2024-07-07 05:00:00+00:00,3030.0,supertrend_flip,-0.9,-0.0297,-0.0307,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-07-21 20:00:00+00:00,3499.6,2024-07-21 21:00:00+00:00,3520.0,supertrend_flip,20.4,0.5829,0.5819,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-08-06 08:00:00+00:00,2459.0,2024-08-06 09:00:00+00:00,2462.85,supertrend_flip,-3.85,-0.1566,-0.1576,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-08-06 17:00:00+00:00,2482.6,2024-08-06 18:00:00+00:00,2500.4,supertrend_flip,-17.8,-0.717,-0.718,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-08-06 22:00:00+00:00,2474.45,2024-08-06 23:00:00+00:00,2462.85,supertrend_flip,11.6,0.4688,0.4678,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-08-07 11:00:00+00:00,2473.0,2024-08-07 12:00:00+00:00,2469.1,supertrend_flip,3.9,0.1577,0.1567,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-08-08 04:00:00+00:00,2422.0,2024-08-08 12:00:00+00:00,2481.2,supertrend_flip,-59.2,-2.4443,-2.4453,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-08-28 10:00:00+00:00,2521.35,2024-08-29 06:00:00+00:00,2549.95,supertrend_flip,-28.6,-1.1343,-1.1353,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-09-01 21:00:00+00:00,2485.95,2024-09-02 09:00:00+00:00,2517.35,supertrend_flip,-31.4,-1.2631,-1.2641,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-09-05 03:00:00+00:00,2404.75,2024-09-05 04:00:00+00:00,2413.75,supertrend_flip,-9.0,-0.3743,-0.3753,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-09-06 13:00:00+00:00,2364.15,2024-09-09 00:00:00+00:00,2308.1,supertrend_flip,56.05,2.3708,2.3698,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-09-24 17:00:00+00:00,2648.6,2024-09-25 15:00:00+00:00,2600.9,supertrend_flip,-47.7,-1.801,-1.802,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-10-10 16:00:00+00:00,2393.3,2024-10-11 12:00:00+00:00,2425.6,supertrend_flip,-32.3,-1.3496,-1.3506,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-15 22:00:00+00:00,2595.45,2024-10-15 23:00:00+00:00,2609.05,supertrend_flip,13.6,0.524,0.523,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-16 16:00:00+00:00,2619.9,2024-10-16 17:00:00+00:00,2621.15,supertrend_flip,1.25,0.0477,0.0467,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-16 22:00:00+00:00,2621.0,2024-10-16 23:00:00+00:00,2611.1,supertrend_flip,-9.9,-0.3777,-0.3787,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-17 00:00:00+00:00,2618.05,2024-10-17 01:00:00+00:00,2643.45,supertrend_flip,25.4,0.9702,0.9692,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-17 15:00:00+00:00,2630.95,2024-10-17 16:00:00+00:00,2613.25,supertrend_flip,-17.7,-0.6728,-0.6738,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-18 04:00:00+00:00,2616.35,2024-10-18 05:00:00+00:00,2627.95,supertrend_flip,11.6,0.4434,0.4424,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-18 13:00:00+00:00,2626.9,2024-10-18 14:00:00+00:00,2642.25,supertrend_flip,15.35,0.5843,0.5833,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-10-30 20:00:00+00:00,2681.0,2024-10-31 09:00:00+00:00,2636.65,supertrend_flip,-44.35,-1.6542,-1.6552,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-11-03 22:00:00+00:00,2458.9,2024-11-04 02:00:00+00:00,2483.2,supertrend_flip,-24.3,-0.9882,-0.9892,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-11-04 05:00:00+00:00,2462.4,2024-11-04 06:00:00+00:00,2477.7,supertrend_flip,-15.3,-0.6213,-0.6223,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-11-04 07:00:00+00:00,2459.4,2024-11-04 08:00:00+00:00,2458.15,supertrend_flip,1.25,0.0508,0.0498,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-11-04 13:00:00+00:00,2458.7,2024-11-04 14:00:00+00:00,2450.2,supertrend_flip,8.5,0.3457,0.3447,100,0.001
ETHUSD,SELL,swing_4h_1h,4h,1h,2024-11-05 19:00:00+00:00,2408.25,2024-11-05 20:00:00+00:00,2426.0,supertrend_flip,-17.75,-0.737,-0.738,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-10 21:00:00+00:00,3173.1,2024-11-10 22:00:00+00:00,3190.4,supertrend_flip,17.3,0.5452,0.5442,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-11 09:00:00+00:00,3175.7,2024-11-11 10:00:00+00:00,3193.0,supertrend_flip,17.3,0.5448,0.5438,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-11 14:00:00+00:00,3184.95,2024-11-11 15:00:00+00:00,3240.05,supertrend_flip,55.1,1.73,1.729,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-13 14:00:00+00:00,3321.5,2024-11-14 14:00:00+00:00,3110.45,supertrend_flip,-211.05,-6.3541,-6.3551,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-22 15:00:00+00:00,3316.35,2024-11-24 12:00:00+00:00,3317.9,supertrend_flip,1.55,0.0467,0.0457,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-28 21:00:00+00:00,3573.2,2024-11-28 22:00:00+00:00,3594.3,supertrend_flip,21.1,0.5905,0.5895,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-29 02:00:00+00:00,3602.55,2024-11-29 03:00:00+00:00,3585.85,supertrend_flip,-16.7,-0.4636,-0.4646,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-11-29 10:00:00+00:00,3587.2,2024-11-29 11:00:00+00:00,3596.6,supertrend_flip,9.4,0.262,0.261,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-12-01 03:00:00+00:00,3708.95,2024-12-02 08:00:00+00:00,3606.6,supertrend_flip,-102.35,-2.7595,-2.7605,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-12-06 00:00:00+00:00,3865.95,2024-12-06 01:00:00+00:00,3872.2,supertrend_flip,6.25,0.1617,0.1607,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-12-06 13:00:00+00:00,3890.75,2024-12-08 08:00:00+00:00,3943.0,supertrend_flip,52.25,1.3429,1.3419,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-12-08 12:00:00+00:00,3988.2,2024-12-08 13:00:00+00:00,4000.0,supertrend_flip,11.8,0.2959,0.2949,100,0.001
ETHUSD,BUY,swing_4h_1h,4h,1h,2024-12-08 15:00:00+00:00,3993.8,2024-12-08 16:00:00+00:00,3986.5,supertrend_flip,-7.3,-0.1828,-0.1838,100,0.001
