symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,total_pnl_usd_net,total_pnl_inr_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
