symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
BTCUSD,BUY,backtest_mtf,4h,1h,2026-02-08 11:00:00+00:00,70961.5,2026-02-11 08:00:00+00:00,66962.0,opposite_signal,-3999.5,-5.6362,-5.7362,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-11 08:00:00+00:00,66962.0,2026-03-04 20:00:00+00:00,72980.0,opposite_signal,-6018.0,-8.9872,-9.0872,1,0.1
BTCUSD,BUY,backtest_mtf,4h,1h,2026-03-04 20:00:00+00:00,72980.0,2026-03-27 20:00:00+00:00,65989.5,opposite_signal,-6990.5,-9.5787,-9.6787,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-03-27 20:00:00+00:00,65989.5,2026-04-08 20:00:00+00:00,71344.5,opposite_signal,-5355.0,-8.1149,-8.2149,1,0.1
BTCUSD,BUY,backtest_mtf,4h,1h,2026-04-08 20:00:00+00:00,71344.5,2026-05-08 16:00:00+00:00,79917.5,end_of_data,8573.0,12.0163,11.9163,1,0.1
