symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,5,20.0,0.367,-19.9959,-20.4959,26.3021,11.875,-8.0927,11.875,-9.3703,-4.0992,3,2,1,4
ETHUSD,6,16.67,0.203,-24.0799,-24.6799,28.4602,6.3026,-6.1965,6.3026,-9.0712,-4.1133,3,3,1,5
