symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,185,41.62,1.085,7.0616,6.8766,18.3125,1.1364,-0.7466,15.8847,-6.3382,0.0372,94,91,4,6
ETHUSD,222,40.54,0.963,-5.0263,-5.2483,45.0383,1.5118,-1.0705,21.8531,-11.0709,-0.0236,83,139,4,10
