symbol,total_trades,win_rate_pct,profit_factor,total_pnl_pct,total_pnl_pct_net,max_drawdown_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_trade_pct,total_trades_buy,total_trades_sell,win_streak_max,loss_streak_max
BTCUSD,99,26.26,0.342,-30.5604,-40.4604,39.8199,0.8095,-0.8426,2.7298,-1.7708,-0.4087,63,36,3,11
ETHUSD,90,30.0,0.393,-31.6806,-40.6806,38.9191,0.9744,-1.0633,2.5117,-2.2105,-0.452,48,42,2,7
