symbol,side,system,trend_tf,trigger_tf,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,pnl_pct_net,lot_size,fee_pct_rt
BTCUSD,BUY,backtest_mtf,4h,1h,2026-02-08 11:00:00+00:00,70961.5,2026-02-08 16:00:00+00:00,70255.5668,trailing_sl_hit,-705.9332,-0.9948,-1.0948,1,0.1
BTCUSD,BUY,backtest_mtf,4h,1h,2026-02-08 16:00:00+00:00,70396.5,2026-02-08 23:00:00+00:00,70786.7389,trailing_sl_hit,390.2389,0.5543,0.4543,1,0.1
BTCUSD,BUY,backtest_mtf,4h,1h,2026-02-08 23:00:00+00:00,70295.0,2026-02-09 08:00:00+00:00,69904.9025,trailing_sl_hit,-390.0975,-0.5549,-0.6549,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-11 08:00:00+00:00,66962.0,2026-02-11 13:00:00+00:00,67617.5298,trailing_sl_hit,-655.5298,-0.979,-1.079,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-11 13:00:00+00:00,67430.5,2026-02-11 14:00:00+00:00,67938.0495,trailing_sl_hit,-507.5495,-0.7527,-0.8527,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-11 14:00:00+00:00,66566.0,2026-02-11 19:00:00+00:00,67296.5102,trailing_sl_hit,-730.5102,-1.0974,-1.1974,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-11 19:00:00+00:00,67555.0,2026-02-12 11:00:00+00:00,68069.3078,trailing_sl_hit,-514.3078,-0.7613,-0.8613,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-12 16:00:00+00:00,65832.0,2026-02-13 02:00:00+00:00,66602.5393,trailing_sl_hit,-770.5393,-1.1705,-1.2705,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-13 02:00:00+00:00,66634.0,2026-02-13 11:00:00+00:00,67185.4944,trailing_sl_hit,-551.4944,-0.8276,-0.9276,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-17 12:00:00+00:00,67899.5,2026-02-17 14:00:00+00:00,67846.5567,trailing_sl_hit,52.9433,0.078,-0.022,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-17 14:00:00+00:00,66854.0,2026-02-17 16:00:00+00:00,67703.4175,trailing_sl_hit,-849.4175,-1.2706,-1.3706,1,0.1
BTCUSD,SELL,backtest_mtf,4h,1h,2026-02-17 16:00:00+00:00,67499.0,2026-02-17 18:00:00+00:00,68090.9665,trailing_sl_hit,-591.9665,-0.877,-0.977,1,0.1
